BANDHAN Bank 729 - Cheque in hand,,,,,,,,,,,
Cheers Retail Private limited,,,,,,,,,,,
Date,Particulars,Instrument Number,"Instrument
 Date", Credit ,Bill Date,"Payment
 Type",Cheque In Hand / Issued on,Cheque debited on,Ageing,CO.,
25-11-2021,MOMS FOOD MARKETING,203,09-12-2021,"3,135",15-04-2021,Supplier,08-12-2021,,237,CV,
10-12-2021,VASUKI ENTERPRISES,258,18-12-2021,"3,852",27-11-2021,Supplier,17-12-2021,,20,CV,
27-12-2021,JAGADEESH ENTERPRISES_947,391,07-01-2022,"23,062",20-12-2021,Supplier,06-01-2022,,17,CRPL,
11-01-2022,PROFESSIONAL TAX REVENUE OFFICER,447,11-01-2022,"1,940",11-01-2022,ADMIN,11-01-2022,,0,CV,
24-11-2021,SR IT Services,190,31-01-2022,"10,000",14-10-2021,ADMIN,20-01-2022,,98,CV,
11-01-2022,ASHRIYA ENTERPRISES,454,24-01-2022,"1,796",31-12-2021,Supplier,21-01-2022,,21,CRPL,
13-01-2022,YAKULT DANONE INDIA PVT LTD_419,485,24-01-2022,"1,317",27-12-2021,Supplier,21-01-2022,,25,CRPL,
12-01-2022,Mars Pest Management Systems India Private Limited,467,01-02-2022,"2,124",03-11-2021,ADMIN,01-02-2022,,90,CRPL,
13-01-2022,BENANI FOODS PVT LTD_41,477,03-02-2022,"3,755",31-12-2021,Supplier,02-02-2022,,33,CRPL,
13-01-2022,BENANI FOODS PVT LTD_41,476,04-02-2022,"4,987",20-12-2021,Supplier,03-02-2022,,45,CRPL,
25-01-2022,R.V.ENTERPRISES_797,602,04-02-2022,"7,888",17-01-2022,Supplier,03-02-2022,,17,CRPL,
25-01-2022,MEHTA AGENCIES_949,601,05-02-2022,"5,394",12-01-2022,Supplier,04-02-2022,,23,CRPL,
27-01-2022,Natural Office Mart,615,05-02-2022,"1,906",26-10-2021,ADMIN,05-02-2022,,102,CRPL,
24-01-2022,MAARA INDUSTRIES_954,576,08-02-2022,"14,000",15-12-2021,Supplier,07-02-2022,,54,CRPL,
25-01-2022,AKSHIT TRADERS_962,605,08-02-2022,"22,826",23-12-2021,Supplier,07-02-2022,,46,CRPL,
25-01-2022,CV-T.J.AGENCIES,600,08-02-2022,"14,516",24-11-2021,Supplier,07-02-2022,,75,CV,
19-01-2022,S.V.S.AGENGY_440,552,09-02-2022,"25,837",07-10-2021,Supplier,08-02-2022,,124,CRPL,
19-01-2022,CV-SARAVANA AGENCIES,558,09-02-2022,"17,039",01-10-2021,Supplier,08-02-2022,,130,CV,
24-01-2022,ZARAH DISTRIBUTORS LLP_745,588,09-02-2022,"17,000",11-01-2022,Supplier,08-02-2022,,28,CRPL,
17-01-2022,CV-S.GURUSAMY,496,10-02-2022,"12,654",31-10-2021,Supplier,08-02-2022,,100,CV,
24-01-2022,KAVYA ENTERPRISES_153,595,09-02-2022,"4,201",28-12-2021,Supplier,08-02-2022,,42,CRPL,
31-01-2022,ANNAI AGENCIES_930,635,09-02-2022,"25,188",09-01-2022,Supplier,08-02-2022,,30,CRPL,
24-01-2022,MAARA INDUSTRIES_954,577,10-02-2022,"12,608",15-12-2021,Supplier,09-02-2022,,56,CRPL,
24-01-2022,ZARAH DISTRIBUTORS LLP_745,589,10-02-2022,"18,340",11-01-2022,Supplier,09-02-2022,,29,CRPL,
29-01-2022,R.V.ENTERPRISES_797,627,10-02-2022,"9,791",26-01-2022,Supplier,09-02-2022,,14,CRPL,
24-01-2022,BENANI FOODS PVT LTD_41,591,10-02-2022,"4,665",10-01-2022,Supplier,09-02-2022,,30,CRPL,
28-01-2022,CV-RIKHAB TRADING COMPANY,620,10-02-2022,"9,600",03-02-2022,Supplier,09-02-2022,,6,CV,
20-01-2022,CV-P.S.B.ENTERPRISES,565,11-02-2022,"21,735",24-09-2021,Supplier,10-02-2022,,139,CV,
27-01-2022,DHARSHAN FRUIT AND VEGETABLE_902,611,11-02-2022,"21,991",21-01-2022,Supplier,10-02-2022,,20,CRPL,
27-01-2022,MEHTA AGENCIES_949,616,11-02-2022,"10,982",22-01-2022,Supplier,10-02-2022,,19,CRPL,
31-01-2022,ANNAI FOOD PRODUCTS PVT LTD_581,637,14-02-2022,"8,464",28-12-2021,Supplier,11-02-2022,,45,CRPL,
17-01-2022,CV-SJ ENTERPRISES,494,14-02-2022,"5,151",20-10-2021,Supplier,11-02-2022,,114,CV,
17-01-2022,CV-SRI VINAYAKA AGENCIES_347,503,14-02-2022,"13,775",12-10-2021,Supplier,11-02-2022,,122,CV,
24-01-2022,JAYALAKSHMI ENTERPRISES_131,575,14-02-2022,"18,890",19-12-2021,Supplier,11-02-2022,,54,CRPL,
29-01-2022,Shiva Screen & Offset,624,14-02-2022,"6,405",08-01-2022,Admin,11-02-2022,,34,CRPL,
24-01-2022,SAI RAM MARKETING_265,573,14-02-2022,"6,696",07-01-2022,Supplier,11-02-2022,,35,CRPL,
